nom,code,type,gid,adresse,lon,lat
Région - Pôle formation professionnelle et apprentissage,E,E13,10295,192 rue Lecocq,-0.5928432,44.8315508
Pôle Jeunesse Territorial de Gironde Centre Bordeaux (PJT),E,E9,11525,32 rue du Recteur Thamin,-0.5414358,44.8461809
Tennis,C,C14,16334,5 Place Johnston,-0.5993119,44.8272044
Fronton,C,C1,16335,5 Place Johnston,-0.6004592,44.8272807
Terrain de rugby,C,C15,16336,5 Place Johnston,-0.5982952,44.8296002
Terrain multisports,C,C15,16339,290 avenue du Maréchal de Lattre de Tassigny,-0.621728,44.8552263
Terrain de basket,C,C15,16341,290 avenue du Maréchal de Lattre de Tassigny,-0.6219448,44.8562329
Gymnase Stéhélin,C,C2,16343,290 avenue du Maréchal de Lattre de Tassigny,-0.6225112,44.856598
Piste d'athlétisme,C,C1,16344,,-0.5831896,44.8577664
Terrain de football,C,C15,16346,50 rue Pierre Trébod,-0.5856186,44.8586696
Ecole Elémentaire Jean Monnet,A,A2,221,Rue du Jonc,-0.5746071,44.8726626
Terrain de handball,C,C15,16351,,-0.5544552,44.8392091
Ecole Maternelle Jean Monnet,A,A1,222,Rue du Jonc,-0.5742984,44.8728908
Tennis,C,C14,16361,1 rue de Maître Jean,-0.6124437,44.8296519
Gymnase Virginia,C,C2,16365,,-0.6261417,44.8487396
Gymnase Aubiers-Ginko,C,C2,16641,6 cours du Québec,-0.5713252,44.8752124
"Académie Nationale des Sciences, Belles-Lettres et Arts de Bordeaux",D,D8,2713,1 place Bardineau,-0.5802227,44.8480251
Patinoire Mériadeck,D,D7,2719,95 cours du Maréchal Juin,-0.5880545,44.835239
Hangar 14,D,D7,2721,,-0.5644569,44.8546815
Tour Saint-Michel,D,D6,2726,,-0.5659508,44.8343641
La Grosse Cloche,D,D6,2727,,-0.5713495,44.8354387
Tour des Sorcières,D,D6,2729,,-0.5801333,44.8361216
Palais de la Bourse - Place de la Bourse,D,D6,2732,,-0.570539,44.8411355
Tour Pey Berland,D,D6,2734,Place Pey Berland,-0.5766008,44.8376136
Institut Cervantès,D,D5,2736,57 cours de l'Intendance,-0.5786893,44.8420079
Goethe Institut - Centre culturel allemand,D,D5,2737,35 cours de Verdun,-0.5751999,44.8502539
La Manufacture - Centre de développement chorégraphique national (CDCN),D,D4,2738,226 boulevard Albert 1er,-0.5583142,44.8130119
Théâtre Barbey,D,D4,2739,Cours Barbey,-0.5632862,44.8269602
